P,K,candidates,batches_model,cycles_rtl,utilization,winner_match,rd_cost_match,throughput_estimate
1,4,1024,4,16,1.0,True,True,0.0625
1,16,4096,16,64,1.0,True,True,0.015625
1,35,8960,35,140,1.0,True,True,0.007142857142857143
2,4,1024,2,8,1.0,True,True,0.125
2,16,4096,8,32,1.0,True,True,0.03125
2,35,8960,18,72,0.9722222222222222,True,True,0.013888888888888888
4,4,1024,1,4,1.0,True,True,0.25
4,16,4096,4,16,1.0,True,True,0.0625
4,35,8960,9,36,0.9722222222222222,True,True,0.027777777777777776
8,4,1024,1,4,0.5,True,True,0.25
8,16,4096,2,8,1.0,True,True,0.125
8,35,8960,5,20,0.875,True,True,0.05
