experiment_id,workload,qp,policy,avg_k,rdo_reduction,winner_retention,candidate_recall,bitrate,psnr_y,psnr_u,psnr_v,psnr_yuv,bd_rate_percent,estimated_batches,estimated_cycles,status
phase4-mixed-texture-192x128-4f-yuv420p8-all-intra-full-rdo-qp22-adaptive-hw-p8-adc2ba05e333,phase4-mixed-texture-192x128-4f-yuv420p8,22,adaptive_hw_batch_fill_p8,8.0,0.7714285714285715,0.7430351906158358,0.7430351906158358,4303.56,40.9005,40.5334,40.5858,40.7828,0.3431680303839668,1.0,14.0,PASS
phase4-mixed-texture-192x128-4f-yuv420p8-all-intra-full-rdo-qp22-adaptive-hw-v1-p8-242d8b832b3b,phase4-mixed-texture-192x128-4f-yuv420p8,22,adaptive_hw_v1_p8,30.041055718475075,0.14168412232928362,0.9725073313782991,0.9725073313782991,4319.76,41.1104,40.6784,40.7385,40.9688,0.021225307526706594,4.25366568914956,43.28299120234604,PASS
phase4-mixed-texture-192x128-4f-yuv420p8-all-intra-full-rdo-qp22-adaptive-threshold-81f963607573,phase4-mixed-texture-192x128-4f-yuv420p8,22,adaptive_threshold,29.295821114369502,0.1629765395894428,0.979594330400782,0.979594330400782,4306.32,41.0753,40.7016,40.7539,40.9547,-0.012670532943204194,4.099340175953079,41.89406158357771,PASS
phase4-mixed-texture-192x128-4f-yuv420p8-all-intra-full-rdo-qp22-adaptive-v0-08c76f6dd3c2,phase4-mixed-texture-192x128-4f-yuv420p8,22,adaptive_v0,12.026881720430108,0.6563748079877112,0.8236803519061584,0.8236803519061584,4302.0,40.9229,40.5428,40.6448,40.8087,0.08763313391533245,1.5940860215053763,19.346774193548388,PASS
phase4-mixed-texture-192x128-4f-yuv420p8-all-intra-full-rdo-qp22-fixed-k16-9d0cec88df4f,phase4-mixed-texture-192x128-4f-yuv420p8,22,fixed_k16,16.0,0.5428571428571429,0.9016373411534702,0.9016373411534702,4315.26,41.0557,40.6525,40.7179,40.9267,0.0006323977034483619,2.0,23.0,PASS
phase4-mixed-texture-192x128-4f-yuv420p8-all-intra-full-rdo-qp22-fixed-k2-33a8adeefe20,phase4-mixed-texture-192x128-4f-yuv420p8,22,fixed_k2,2.0,0.9428571428571428,0.39626099706744866,0.39626099706744866,4275.36,40.7114,40.4121,40.4895,40.6215,0.354701997658613,1.0,14.0,PASS
phase4-mixed-texture-192x128-4f-yuv420p8-all-intra-full-rdo-qp22-fixed-k4-a7295d8a9d6a,phase4-mixed-texture-192x128-4f-yuv420p8,22,fixed_k4,4.0,0.8857142857142857,0.5674486803519062,0.5674486803519062,4281.3,40.7722,40.5179,40.6071,40.7006,0.49551563345127114,1.0,14.0,PASS
phase4-mixed-texture-192x128-4f-yuv420p8-all-intra-full-rdo-qp22-fixed-k8-1591ab442331,phase4-mixed-texture-192x128-4f-yuv420p8,22,fixed_k8,8.0,0.7714285714285715,0.7430351906158358,0.7430351906158358,4303.56,40.9005,40.5334,40.5858,40.7828,0.3431680303839668,1.0,14.0,PASS
phase4-mixed-texture-192x128-4f-yuv420p8-all-intra-full-rdo-qp22-9235f8f88639,phase4-mixed-texture-192x128-4f-yuv420p8,22,full_rdo,35.0,0.0,1.0,1.0,4328.04,41.1498,40.7008,40.7419,40.9993,0.0,5.0,50.0,PASS
phase4-mixed-texture-192x128-4f-yuv420p8-all-intra-full-rdo-qp22-relative-satd-79a8b380ad60,phase4-mixed-texture-192x128-4f-yuv420p8,22,relative_satd,31.418377321603128,0.10233207652562493,0.9931573802541545,0.9931573802541545,4328.1,41.1473,40.7099,40.7514,41.001,0.003447842773529608,4.4490469208211145,45.04142228739003,PASS
phase4-mixed-texture-192x128-4f-yuv420p8-all-intra-full-rdo-qp27-adaptive-hw-p8-5d4bbdee4d5e,phase4-mixed-texture-192x128-4f-yuv420p8,27,adaptive_hw_batch_fill_p8,8.0,0.7714285714285715,0.7649071358748778,0.7649071358748778,3259.5,35.7344,35.3261,35.4237,35.6108,0.3431680303839668,1.0,14.0,PASS
phase4-mixed-texture-192x128-4f-yuv420p8-all-intra-full-rdo-qp27-adaptive-hw-v1-p8-083e8482e44c,phase4-mixed-texture-192x128-4f-yuv420p8,27,adaptive_hw_v1_p8,29.214565004887586,0.16529814271749754,0.9712854349951124,0.9712854349951124,3271.2,35.7924,35.4049,35.5032,35.6757,0.021225307526706594,4.129887585532747,42.168988269794724,PASS
phase4-mixed-texture-192x128-4f-yuv420p8-all-intra-full-rdo-qp27-adaptive-threshold-27e35e788c9f,phase4-mixed-texture-192x128-4f-yuv420p8,27,adaptive_threshold,29.655669599217987,0.15269515430805758,0.9813049853372434,0.9813049853372434,3271.74,35.8033,35.4338,35.55,35.6962,-0.012670532943204194,4.156158357771261,42.40542521994135,PASS
phase4-mixed-texture-192x128-4f-yuv420p8-all-intra-full-rdo-qp27-adaptive-v0-a944dc3dd977,phase4-mixed-texture-192x128-4f-yuv420p8,27,adaptive_v0,12.108993157380255,0.6540287669319927,0.8385874877810362,0.8385874877810362,3263.28,35.7541,35.3242,35.3808,35.6152,0.08763313391533245,1.6019061583577712,19.417155425219942,PASS
phase4-mixed-texture-192x128-4f-yuv420p8-all-intra-full-rdo-qp27-fixed-k16-f621d8668712,phase4-mixed-texture-192x128-4f-yuv420p8,27,fixed_k16,16.0,0.5428571428571429,0.9150782013685239,0.9150782013685239,3263.7,35.764,35.3493,35.3981,35.6292,0.0006323977034483619,2.0,23.0,PASS
phase4-mixed-texture-192x128-4f-yuv420p8-all-intra-full-rdo-qp27-fixed-k2-0533ab4c735f,phase4-mixed-texture-192x128-4f-yuv420p8,27,fixed_k2,2.0,0.9428571428571428,0.41605571847507333,0.41605571847507333,3260.1,35.7121,35.2796,35.3518,35.5756,0.354701997658613,1.0,14.0,PASS
phase4-mixed-texture-192x128-4f-yuv420p8-all-intra-full-rdo-qp27-fixed-k4-1825e4d8ed75,phase4-mixed-texture-192x128-4f-yuv420p8,27,fixed_k4,4.0,0.8857142857142857,0.5868768328445748,0.5868768328445748,3268.2,35.7493,35.3374,35.4162,35.6205,0.49551563345127114,1.0,14.0,PASS
phase4-mixed-texture-192x128-4f-yuv420p8-all-intra-full-rdo-qp27-fixed-k8-e500eee80608,phase4-mixed-texture-192x128-4f-yuv420p8,27,fixed_k8,8.0,0.7714285714285715,0.7649071358748778,0.7649071358748778,3259.5,35.7344,35.3261,35.4237,35.6108,0.3431680303839668,1.0,14.0,PASS
phase4-mixed-texture-192x128-4f-yuv420p8-all-intra-full-rdo-qp27-f182144ade3c,phase4-mixed-texture-192x128-4f-yuv420p8,27,full_rdo,35.0,0.0,1.0,1.0,3267.3,35.778,35.3894,35.47,35.6581,0.0,5.0,50.0,PASS
phase4-mixed-texture-192x128-4f-yuv420p8-all-intra-full-rdo-qp27-relative-satd-2fda8ecdfbef,phase4-mixed-texture-192x128-4f-yuv420p8,27,relative_satd,31.47324046920821,0.10076455802262252,0.9943792766373412,0.9943792766373412,3267.72,35.7795,35.39,35.4686,35.659,0.003447842773529608,4.457355816226784,45.11620234604106,PASS
phase4-mixed-texture-192x128-4f-yuv420p8-all-intra-full-rdo-qp32-adaptive-hw-p8-ae43391080b4,phase4-mixed-texture-192x128-4f-yuv420p8,32,adaptive_hw_batch_fill_p8,8.0,0.7714285714285715,0.7784701857282502,0.7784701857282502,2393.22,30.6958,31.8883,31.764,31.0401,0.3431680303839668,1.0,14.0,PASS
phase4-mixed-texture-192x128-4f-yuv420p8-all-intra-full-rdo-qp32-adaptive-hw-v1-p8-d4a751a4d6d3,phase4-mixed-texture-192x128-4f-yuv420p8,32,adaptive_hw_v1_p8,28.612903225806452,0.18248847926267286,0.9704301075268817,0.9704301075268817,2373.72,30.6726,31.8735,31.7897,31.0249,0.021225307526706594,4.038489736070381,41.34640762463343,PASS
phase4-mixed-texture-192x128-4f-yuv420p8-all-intra-full-rdo-qp32-adaptive-threshold-705b8f3232ea,phase4-mixed-texture-192x128-4f-yuv420p8,32,adaptive_threshold,30.256964809384165,0.13551529116045247,0.9887585532746823,0.9887585532746823,2371.38,30.6586,31.8842,31.7962,31.0173,-0.012670532943204194,4.251099706744868,43.25989736070381,PASS
phase4-mixed-texture-192x128-4f-yuv420p8-all-intra-full-rdo-qp32-adaptive-v0-9060dc190ac3,phase4-mixed-texture-192x128-4f-yuv420p8,32,adaptive_v0,12.156891495601172,0.6526602429828237,0.8497067448680352,0.8497067448680352,2376.42,30.6755,31.8499,31.7681,31.0207,0.08763313391533245,1.603494623655914,19.431451612903224,PASS
phase4-mixed-texture-192x128-4f-yuv420p8-all-intra-full-rdo-qp32-fixed-k16-daebd23c004b,phase4-mixed-texture-192x128-4f-yuv420p8,32,fixed_k16,16.0,0.5428571428571429,0.9175219941348973,0.9175219941348973,2375.28,30.6788,31.8923,31.8057,31.0344,0.0006323977034483619,2.0,23.0,PASS
phase4-mixed-texture-192x128-4f-yuv420p8-all-intra-full-rdo-qp32-fixed-k2-3e6f9948477b,phase4-mixed-texture-192x128-4f-yuv420p8,32,fixed_k2,2.0,0.9428571428571428,0.42558651026392963,0.42558651026392963,2380.14,30.6397,31.7865,31.7432,30.9828,0.354701997658613,1.0,14.0,PASS
phase4-mixed-texture-192x128-4f-yuv420p8-all-intra-full-rdo-qp32-fixed-k4-aecb8b200a66,phase4-mixed-texture-192x128-4f-yuv420p8,32,fixed_k4,4.0,0.8857142857142857,0.591275659824047,0.591275659824047,2389.92,30.6475,31.7882,31.7047,30.9831,0.49551563345127114,1.0,14.0,PASS
phase4-mixed-texture-192x128-4f-yuv420p8-all-intra-full-rdo-qp32-fixed-k8-06e562ec8ebd,phase4-mixed-texture-192x128-4f-yuv420p8,32,fixed_k8,8.0,0.7714285714285715,0.7784701857282502,0.7784701857282502,2393.22,30.6958,31.8883,31.764,31.0401,0.3431680303839668,1.0,14.0,PASS
phase4-mixed-texture-192x128-4f-yuv420p8-all-intra-full-rdo-qp32-057b69228a4f,phase4-mixed-texture-192x128-4f-yuv420p8,32,full_rdo,35.0,0.0,1.0,1.0,2371.2,30.6574,31.8842,31.7962,31.0165,0.0,5.0,50.0,PASS
phase4-mixed-texture-192x128-4f-yuv420p8-all-intra-full-rdo-qp32-relative-satd-e51eec6ac676,phase4-mixed-texture-192x128-4f-yuv420p8,32,relative_satd,31.557306940371458,0.09836265884652984,0.9953567937438905,0.9953567937438905,2371.2,30.6574,31.8842,31.7962,31.0165,0.003447842773529608,4.470307917888563,45.23277126099707,PASS
phase4-mixed-texture-192x128-4f-yuv420p8-all-intra-full-rdo-qp37-adaptive-hw-p8-3e0d5dfef3bf,phase4-mixed-texture-192x128-4f-yuv420p8,37,adaptive_hw_batch_fill_p8,8.0,0.7714285714285715,0.7993646138807429,0.7993646138807429,1578.84,25.5183,29.204,29.2172,26.4366,0.3431680303839668,1.0,14.0,PASS
phase4-mixed-texture-192x128-4f-yuv420p8-all-intra-full-rdo-qp37-adaptive-hw-v1-p8-1da83d6e1cce,phase4-mixed-texture-192x128-4f-yuv420p8,37,adaptive_hw_v1_p8,27.830400782013687,0.20484569194246616,0.9710410557184751,0.9710410557184751,1577.76,25.5139,29.2363,29.2906,26.4419,0.021225307526706594,3.9195992179863146,40.27639296187683,PASS
phase4-mixed-texture-192x128-4f-yuv420p8-all-intra-full-rdo-qp37-adaptive-threshold-d7e942307403,phase4-mixed-texture-192x128-4f-yuv420p8,37,adaptive_threshold,31.259897360703814,0.10686007540846254,0.9932795698924731,0.9932795698924731,1578.0,25.5146,29.2373,29.2949,26.443,-0.012670532943204194,4.409457478005865,44.68511730205279,PASS
phase4-mixed-texture-192x128-4f-yuv420p8-all-intra-full-rdo-qp37-adaptive-v0-c0b42964e71a,phase4-mixed-texture-192x128-4f-yuv420p8,37,adaptive_v0,12.241446725317694,0.6502443792766374,0.8607038123167156,0.8607038123167156,1572.3,25.4963,29.1907,29.2355,26.419,0.08763313391533245,1.6130254154447703,19.51722873900293,PASS
